input_ids,labels
"[822, 10, 125, 19, 1702, 3, 9, 1389, 1076, 6159, 138, 2537, 58, 1]","[71, 1389, 1076, 6159, 138, 2537, 19, 80, 24, 19, 7598, 396, 2437, 3701, 396, 659, 5, 94, 3115, 5806, 4700, 19021, 24, 2311, 2839, 3, 9, 8950, 42, 3, 17, 4624, 106, 334, 314, 12, 431, 716, 5, 1]"
"[822, 10, 149, 54, 4640, 3580, 462, 11153, 53, 1076, 6159, 138, 124, 12, 3017, 122, 3868, 1221, 58, 1]","[71, 89, 7001, 53, 124, 5806, 1445, 53, 1742, 31, 7285, 26203, 6, 1772, 2399, 1076, 6159, 138, 556, 931, 6, 11, 1577, 13066, 4640, 8258, 24, 16742, 3017, 122, 3868, 2704, 5, 1]"
"[822, 10, 116, 405, 3, 32, 208, 7830, 1086, 4093, 16, 8, 1076, 6159, 138, 4005, 58, 1]","[411, 208, 7830, 1086, 6986, 300, 8, 2076, 2700, 13, 8, 1076, 6159, 138, 4005, 6, 3241, 968, 477, 274, 8, 456, 13, 8, 416, 1076, 6159, 138, 1059, 5, 1]"
"[822, 10, 149, 54, 887, 8269, 6382, 13, 12447, 42, 10960, 10116, 7, 7, 297, 81, 1076, 6159, 257, 58, 1]","[4047, 54, 8269, 6382, 13, 12447, 42, 10960, 10116, 7, 7, 297, 81, 1076, 6159, 257, 57, 1389, 2610, 7574, 81, 8811, 6, 3, 23251, 1452, 81, 1076, 6159, 138, 533, 6, 11, 3, 22873, 1076, 6159, 257, 38, 3, 9, 793, 11, 1695, 433, 5, 1]"
"[822, 10, 149, 405, 1076, 6159, 257, 2603, 2100, 821, 58, 1]","[3137, 6159, 138, 3976, 224, 38, 24268, 53, 11, 13034, 54, 1113, 821, 6, 68, 928, 2704, 5215, 5, 1]"
"[822, 10, 149, 54, 1076, 6159, 138, 8408, 6985, 1656, 45, 452, 18, 26881, 13416, 58, 1]","[7086, 688, 54, 370, 1438, 11, 2980, 6, 298, 452, 12311, 54, 4028, 3101, 11, 380, 573, 6985, 5, 1]"
"[822, 10, 149, 410, 8, 4290, 9481, 2860, 1076, 6159, 138, 1073, 58, 1]","[37, 4290, 9481, 2237, 12, 14500, 7, 16, 1035, 1103, 11, 46, 20844, 138, 1705, 6, 1260, 72, 4034, 7295, 7, 21, 1076, 6159, 257, 11, 1076, 6159, 138, 533, 5, 1]"
"[822, 10, 149, 405, 1076, 6159, 138, 16, 15, 10073, 63, 1113, 3567, 31, 1073, 16, 2421, 9352, 58, 1]","[3137, 6159, 138, 16, 15, 10073, 63, 3433, 12, 496, 14101, 15, 15, 159, 51, 6, 2328, 670, 1917, 6, 11, 13665, 3472, 14568, 297, 859, 3567, 788, 12, 2428, 16, 5037, 1076, 6159, 257, 16, 496, 3803, 5, 1]"
"[822, 10, 149, 54, 3, 1931, 29368, 11, 1125, 533, 5357, 1172, 592, 12, 1076, 6159, 138, 4640, 364, 58, 1]","[7338, 29368, 1250, 4322, 4577, 11, 592, 12, 8089, 6, 3, 29297, 20187, 13121, 11, 3094, 6440, 5, 1]"
"[822, 10, 149, 410, 778, 20927, 7, 7226, 1742, 81, 1076, 6159, 257, 58, 1]","[8840, 1073, 81, 1076, 6159, 257, 47, 557, 2804, 323, 190, 8759, 10822, 6, 4761, 2119, 7, 6, 11, 2779, 12898, 7, 441, 1791, 11, 2597, 5, 1]"
"[822, 10, 149, 54, 1612, 4139, 12, 1076, 6159, 138, 25852, 58, 1]","[4582, 8, 169, 13, 20, 3822, 6546, 42, 3, 15, 413, 6015, 3040, 1353, 12, 5530, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 405, 20187, 1128, 2603, 592, 12, 1076, 6159, 138, 4640, 364, 58, 1]","[22183, 844, 164, 43, 3, 10643, 4640, 3580, 11, 1643, 592, 12, 3, 8689, 1076, 6159, 138, 533, 364, 6, 1374, 12, 8378, 2197, 16, 124, 5, 1]"
"[822, 10, 149, 186, 477, 274, 1076, 6159, 257, 54, 554, 904, 6159, 138, 12398, 41, 2028, 7, 61, 3976, 456, 58, 1]","[3246, 134, 3976, 54, 456, 12, 6571, 3461, 45, 209, 12, 204, 1274, 274, 1076, 6159, 257, 4396, 5, 1]"
"[822, 10, 125, 19, 8, 11978, 13, 1076, 6159, 138, 768, 11, 30241, 16, 4421, 1076, 6159, 138, 25852, 58, 1]","[94, 54, 13233, 9029, 6, 3033, 4349, 6, 11, 2519, 11122, 11, 1705, 5, 1]"
"[822, 10, 149, 186, 477, 227, 1076, 6159, 257, 19, 34, 1017, 12, 351, 3, 9, 3098, 16, 3905, 138, 643, 2912, 3, 15716, 3, 32, 208, 7830, 58, 1]","[94, 31, 7, 1017, 12, 351, 3, 9, 3098, 16, 3905, 138, 643, 2912, 3, 15716, 3, 32, 208, 7830, 300, 209, 12, 204, 477, 227, 1076, 6159, 257, 5542, 5, 1]"
"[822, 10, 125, 1075, 43, 29890, 2371, 1944, 16, 3, 22235, 1076, 6159, 138, 8408, 441, 887, 31, 7, 2166, 9780, 58, 1]","[3, 4744, 7, 7, 18951, 7, 2371, 43, 2237, 2231, 12, 10973, 339, 1076, 6159, 138, 494, 6, 11223, 21, 1291, 1112, 6, 11, 2519, 1076, 6159, 138, 1073, 11, 93, 2880, 3357, 1707, 441, 2597, 5, 1]"
"[822, 10, 149, 186, 477, 405, 8, 3, 18453, 138, 3944, 13, 8, 1076, 6159, 138, 4005, 3115, 336, 58, 1]","[37, 3, 18453, 138, 3944, 1086, 336, 7, 21, 81, 335, 12, 898, 477, 5, 1]"
"[822, 10, 19, 34, 1389, 12, 351, 1112, 16, 6526, 383, 1076, 6159, 257, 58, 1]","[2163, 6, 1112, 16, 6526, 6, 224, 38, 3, 16827, 17, 2020, 6, 6261, 6, 42, 24784, 6, 33, 1017, 383, 1076, 6159, 257, 788, 12, 27925, 29469, 11, 119, 26574, 2580, 5, 1]"
"[822, 10, 125, 33, 128, 3266, 21, 3, 29297, 2779, 13121, 16, 1076, 6159, 138, 4640, 58, 1]","[28026, 164, 560, 338, 7280, 277, 6, 3, 25118, 28, 573, 2440, 6, 11, 3, 18218, 2779, 120, 2016, 3472, 1397, 5, 1]"
"[822, 10, 149, 103, 2779, 7982, 7, 3825, 1076, 6159, 257, 1113, 592, 12, 1073, 21, 3567, 58, 1]","[472, 23528, 11, 3808, 32, 32, 7, 164, 1709, 3567, 45, 7078, 496, 383, 1076, 6159, 257, 6, 12932, 12, 3472, 8378, 2197, 5, 1]"
"[822, 10, 149, 54, 4640, 2371, 2519, 3, 9, 1543, 13, 2779, 22368, 16, 1076, 6159, 138, 4640, 58, 1]","[938, 3, 10311, 3101, 24, 25370, 2779, 22368, 6, 1260, 4912, 761, 11, 1438, 6, 11, 3, 29691, 3, 9, 12758, 11, 13066, 161, 1164, 5, 1]"
"[822, 10, 149, 405, 2779, 3, 13398, 1113, 6912, 2657, 655, 1459, 21, 1076, 6159, 138, 533, 58, 1]","[13432, 3, 13398, 766, 7, 24, 6912, 2657, 655, 1390, 905, 21, 2399, 2779, 11393, 6, 2869, 6, 11, 11177, 1341, 12, 1076, 6159, 138, 20105, 11, 758, 5, 1]"
"[822, 10, 125, 1075, 405, 1073, 577, 16, 3, 9582, 1076, 6159, 138, 8408, 58, 1]","[94, 54, 14223, 1742, 12, 11223, 21, 70, 2166, 11, 2519, 358, 447, 483, 5, 1]"
"[822, 10, 54, 1076, 6159, 257, 1113, 1742, 31, 3813, 16, 1722, 1087, 11, 2510, 788, 12, 643, 1023, 3315, 58, 1]","[2163, 6, 6382, 13, 17294, 42, 1044, 18, 25098, 655, 383, 1076, 6159, 257, 164, 2603, 5178, 16, 1722, 1087, 5, 1]"
"[822, 10, 3, 2381, 410, 3, 1536, 9, 159, 7, 663, 18, 1498, 46, 10432, 343, 7, 4139, 12, 8, 4290, 1705, 13, 1076, 6159, 257, 58, 1]","[21616, 18, 1498, 46, 10432, 343, 7, 263, 1516, 14500, 7, 16, 8, 810, 13, 3955, 27782, 6, 4421, 28518, 7, 11, 3, 14720, 8, 1591, 1981, 21, 72, 4034, 1705, 7, 13, 1076, 6159, 257, 5, 1]"
"[822, 10, 149, 405, 6912, 2657, 655, 1459, 905, 21, 1076, 6159, 138, 533, 523, 58, 1]","[29798, 2657, 655, 1459, 225, 560, 9848, 21, 1076, 6159, 138, 494, 6, 20105, 2465, 6, 11, 1035, 4471, 12, 380, 1076, 6159, 138, 533, 383, 24356, 5, 1]"
"[822, 10, 125, 19, 8, 711, 1750, 344, 3, 4172, 839, 904, 127, 52, 88, 9, 11, 183, 35, 127, 52, 88, 9, 58, 1]","[20373, 839, 904, 127, 52, 88, 9, 2401, 7, 12, 16, 30740, 1076, 6159, 257, 6, 298, 183, 35, 127, 52, 88, 9, 2401, 7, 12, 8, 8605, 13, 1076, 6159, 257, 5, 1]"
"[822, 10, 54, 26360, 2097, 36, 1231, 16, 5037, 1076, 6159, 138, 18, 3897, 2189, 58, 1]","[2163, 6, 26360, 2869, 54, 199, 1428, 2189, 11, 1172, 2550, 168, 18, 9032, 5, 1]"
"[822, 10, 149, 410, 778, 3, 7, 994, 1073, 1356, 1115, 1076, 6159, 257, 58, 1]","[8840, 3, 7, 994, 1073, 1356, 11556, 3, 10975, 1076, 6159, 138, 533, 139, 70, 5495, 2234, 83, 9, 6, 1260, 251, 81, 27820, 27782, 6, 1076, 6159, 138, 15164, 6, 11, 20105, 2869, 5, 1]"
"[822, 10, 149, 54, 2353, 7, 380, 70, 16649, 31, 2550, 11, 3973, 168, 18, 9032, 383, 1076, 6159, 257, 58, 1]","[6946, 7, 54, 462, 3973, 380, 6, 16742, 70, 16649, 31, 6382, 6, 11, 2519, 1044, 18, 2864, 2869, 12, 199, 1865, 3973, 2428, 1968, 28, 1076, 6159, 257, 5, 1]"
"[822, 10, 54, 27925, 5314, 6873, 8763, 199, 18807, 15, 3976, 13, 554, 904, 6159, 138, 12398, 41, 2028, 7, 61, 58, 1]","[2163, 6, 1664, 1]"
"[822, 10, 54, 2779, 22368, 16, 1076, 6159, 138, 4640, 4139, 12, 3798, 533, 6353, 58, 1]","[2163, 6, 1705, 11, 3, 14198, 2779, 2580, 54, 991, 12, 72, 1231, 1058, 1390, 11, 394, 533, 6353, 21, 1221, 5, 1]"
"[822, 10, 149, 405, 5037, 2189, 4139, 12, 1879, 168, 18, 9032, 383, 1076, 7064, 15, 58, 1]","[3, 16143, 2189, 383, 1076, 7064, 15, 19, 359, 21, 2550, 11, 3973, 533, 5, 22222, 7, 224, 38, 1659, 10882, 6, 26360, 6, 6378, 53, 6, 2887, 97, 10962, 6, 11, 3945, 380, 45, 803, 11, 384, 54, 199, 1428, 2189, 1425, 5, 1]"
"[822, 10, 54, 1076, 6159, 138, 20105, 758, 6985, 1172, 11364, 1917, 16, 2061, 58, 1]","[2163, 6, 57, 3, 14198, 1076, 6159, 138, 523, 6, 1260, 494, 6, 11, 3, 7312, 3, 9, 12758, 1164, 6, 11364, 1917, 54, 1172, 5, 1]"
"[822, 10, 149, 103, 2779, 18537, 1587, 1076, 6159, 257, 2860, 6949, 533, 1073, 58, 1]","[13432, 3808, 32, 32, 7, 11, 25852, 164, 2006, 7574, 81, 1076, 6159, 257, 16, 6949, 533, 1073, 6, 1113, 53, 1103, 11, 1705, 5, 1]"
"[822, 10, 149, 405, 783, 6497, 2860, 2550, 533, 25852, 1341, 12, 1076, 6159, 257, 58, 1]","[8306, 60, 12640, 1628, 11, 9118, 6835, 16, 8, 783, 54, 19452, 2841, 26524, 7, 11, 4139, 12, 25852, 5, 1]"
"[822, 10, 149, 103, 29890, 2371, 4139, 12, 1076, 6159, 138, 8408, 6985, 16, 2421, 9352, 58, 1]","[3, 4744, 7, 7, 18951, 7, 2371, 10973, 1076, 6159, 138, 494, 6, 370, 1076, 6159, 138, 533, 1073, 6, 11, 11223, 21, 1291, 1112, 12, 1115, 1076, 6159, 138, 16, 15, 10073, 63, 44, 8, 573, 593, 5, 1]"
"[822, 10, 149, 54, 2353, 7, 4139, 12, 1577, 3, 9, 12758, 1164, 21, 1076, 6159, 1014, 16649, 44, 234, 58, 1]","[6946, 7, 54, 3716, 16, 5699, 15030, 7, 1341, 12, 1076, 6159, 257, 6, 482, 3, 9, 1346, 628, 21, 539, 7574, 6, 11, 1445, 70, 16649, 31, 4570, 11, 523, 383, 1076, 6159, 257, 5, 1]"
"[822, 10, 125, 33, 128, 844, 21, 647, 585, 30, 1076, 6159, 257, 11, 6658, 7095, 58, 1]","[9130, 585, 228, 2075, 8, 1113, 13, 1076, 6159, 138, 3976, 30, 1994, 758, 6, 1344, 11051, 14418, 21, 1742, 28, 6658, 21154, 6, 11, 1115, 15853, 16, 4640, 592, 11, 380, 5, 1]"
"[822, 10, 149, 43, 1076, 6159, 138, 533, 11, 20105, 118, 3, 20157, 441, 8, 2625, 13, 27820, 2166, 9780, 58, 1]","[3, 15, 27408, 2166, 9780, 43, 4771, 592, 12, 1076, 6159, 138, 494, 11, 1076, 6159, 138, 533, 124, 38, 1832, 3379, 13, 27820, 29007, 11, 23322, 120, 29007, 5, 1]"
